id,pr_codigo,sede_id,ot_id,origen,estado,prioridad,observaciones,solicitado_por,aprobado_por,aprobado_at,created_at,updated_at
"79338fbf-51be-12c3-d33f-0e035e831c16","SIC/2026/00011","6d53c4eb-4680-dc26-d8fb-cd95b95aa4e0",,"manual","procesada","baja",,"11111111-1111-1111-1111-111111111111",,"2026-05-13 01:24:28","2026-05-07 15:20:08.456247+00","2026-05-13 20:39:59.306746+00"
"6af3b2b0-7cdb-6c8c-f383-7a5e39ff0639","SIC/2026/00012","6d53c4eb-4680-dc26-d8fb-cd95b95aa4e0",,"manual","procesada","baja",,"11111111-1111-1111-1111-111111111111",,"2026-05-12 01:13:55","2026-05-08 19:34:44.797257+00","2026-05-21 21:24:59.881325+00"
"344b3a10-4001-255a-f5ec-d4b7f67b9e15","SIC/2026/00013","6d53c4eb-4680-dc26-d8fb-cd95b95aa4e0",,"manual","procesada","baja",,"11111111-1111-1111-1111-111111111111",,"2026-05-12 18:32:34","2026-05-08 19:42:09.222514+00","2026-05-21 21:25:04.696743+00"
"5a6222fb-89c1-13a2-0a05-ce755a677617","SIC/2026/00015","80abbc6b-5d67-82e7-73a5-9309270dbcab",,"manual","procesada","baja","PEDIDOS DE FILTRO DE AIRE Y CABINA","11111111-1111-1111-1111-111111111111",,"2026-05-12 23:40:46","2026-05-08 23:03:28.468164+00","2026-05-25 23:49:14.051103+00"
"bc0180dd-a40f-be6e-ca23-d8efd581a3eb","SIC/2026/00016","80abbc6b-5d67-82e7-73a5-9309270dbcab",,"manual","procesada","baja","FILTRO DE ACEITE, PETROLEO Y COMBUSTIBLE","11111111-1111-1111-1111-111111111111",,"2026-05-12 00:29:49","2026-05-08 23:11:30.91955+00","2026-05-25 23:48:13.325398+00"
"2da2c596-2643-5cc1-3089-1efafba8265d","SIC/2026/00017","4a9363c5-360c-d284-bca0-40867a6d34c2",,"manual","procesada","baja",,"11111111-1111-1111-1111-111111111111",,"2026-05-12 01:23:49","2026-05-09 15:43:21.968267+00","2026-05-25 21:21:15.669842+00"
"1a777de2-3748-1493-94b8-6c239e5ce9b3","SIC/2026/00018","4a9363c5-360c-d284-bca0-40867a6d34c2",,"manual","procesada","baja",,"11111111-1111-1111-1111-111111111111",,"2026-05-13 23:08:41","2026-05-09 22:29:38.015435+00","2026-05-25 23:48:45.247996+00"
"c2da5099-d44d-c5ff-1b9c-cfacace6a843","SIC/2026/00020","6d53c4eb-4680-dc26-d8fb-cd95b95aa4e0",,"manual","procesada","baja",,"11111111-1111-1111-1111-111111111111",,"2026-05-27 21:06:50","2026-05-12 19:40:37.738199+00","2026-05-27 21:09:19.134902+00"
"dc3f5c80-be4f-4d72-54a0-2c65451f278e","SIC/2026/00022","80abbc6b-5d67-82e7-73a5-9309270dbcab",,"manual","aprobada","baja","ACEITES Y ADITIVOS","11111111-1111-1111-1111-111111111111",,"2026-05-18 17:54:12","2026-05-13 15:39:29.681283+00","2026-05-18 17:54:26.942854+00"
"908cc96b-bb62-3782-0005-03a5d2072d62","SIC/2026/00023","80abbc6b-5d67-82e7-73a5-9309270dbcab",,"manual","borrador","baja","FILTROS DE AIRE Y CABINA","11111111-1111-1111-1111-111111111111",,"2026-05-28 14:20:49","2026-05-13 17:11:44.532403+00","2026-05-28 14:23:25.977767+00"
